1;"WLD";"Worldwide";
2;"AFR";"Africa";1
3;"CAM";"Cameroon";2
4;"UKE";"United Kingdom";5
5;"EUU";"European Union";1
6;"AUS";"Australia";
7;"IRA";"Iran";
8;"JAP";"Japan";
9;"SOK";"South Korea";
10;"ALG";"Algeria";
12;"GHA";"Ghana";
13;"IVO";"Ivory Coast";
14;"NIG";"Nigeria";
15;"COS";"Costa Rica";
16;"HON";"Honduras";
17;"MEX";"Mexico";
18;"USA";"United States";
19;"ARG";"Argentina";
20;"BRA";"Brazil";
21;"CHI";"Chile";
22;"COL";"Colombia";
23;"ECU";"Ecuador";
24;"URU";"Uruguay";
25;"BEL";"Belgium";
26;"BOS";"Bosnia and Herzegovina";
27;"CRO";"Croatia";
28;"FRA";"France";
29;"GER";"Germany";
30;"GRE";"Greece";
31;"ITA";"Italy";
32;"NLD";"Netherlands";
33;"POR";"Portugal";
34;"RUS";"Russia";
35;"SPA";"Spain";
36;"SWI";"Switzerland";
